Scope,Model,RMSE,R2,MAE,WAPE_pct,sMAPE_pct,MAE_peak,RMSE_peak,ResidAC1
Core_unweighted,Persistence_1h,7.639,0.962,3.887,8.487,15.781,6.796,12.095,0.137
Core_unweighted,Persistence_week,41.834,0.329,24.929,50.315,64.907,60.856,78.441,0.961
Core_unweighted,Static_ES,35.066,0.464,23.855,50.88,71.863,54.381,66.087,0.953
Core_unweighted,ARX_ES,7.548,0.964,4.206,9.526,42.991,7.256,12.148,0.033
Core_unweighted,ARMAX_ES,7.836,0.962,4.027,8.952,40.506,7.193,13.808,0.084
Core_weighted_by_n,Persistence_1h,7.64,0.962,3.887,8.486,15.781,6.797,12.097,0.137
Core_weighted_by_n,Persistence_week,41.843,0.329,24.933,50.317,64.905,60.862,78.453,0.961
Core_weighted_by_n,Static_ES,35.072,0.464,23.857,50.877,71.859,54.386,66.097,0.953
Core_weighted_by_n,ARX_ES,7.549,0.964,4.207,9.526,42.988,7.257,12.149,0.034
Core_weighted_by_n,ARMAX_ES,7.837,0.962,4.028,8.952,40.504,7.193,13.809,0.084
Extended_all_buildings,Persistence_1h,9.186,0.956,4.79,8.105,14.534,7.476,13.292,0.155
Extended_all_buildings,Persistence_week,52.827,0.024,35.86,50.911,65.417,71.612,88.49,0.962
Extended_all_buildings,Static_ES,39.017,0.425,28.206,48.559,67.099,55.517,66.906,0.952
Extended_all_buildings,ARX_ES,8.973,0.959,5.149,9.123,38.676,7.922,13.191,0.053
Extended_all_buildings,ARMAX_ES,9.636,0.954,5.009,8.571,36.545,7.852,14.778,0.102
