building,target_name,target_family,horizon_hours,M0,M2,M3,delta_wape_M2_minus_M0,delta_wape_M3_minus_M0,vent_class,energy_class,ac24,night_day_ratio,n_vent_points
LIB,target_point_h1,point,1,9.994311332702637,9.767306327819824,9.350202560424805,-0.2270050048828125,-0.644108772277832,basic,,0.8361117547751481,0.673698644556909,1
LIB,target_point_h3,point,3,16.502158164978027,17.2880802154541,18.453527450561523,0.7859220504760742,1.951369285583496,basic,,0.8361117547751481,0.673698644556909,1
LIB,target_point_h6,point,6,20.746170043945312,21.717947006225586,21.210968017578125,0.9717769622802734,0.4647979736328125,basic,,0.8361117547751481,0.673698644556909,1
LIB,target_cum_h3,cumulative,3,13.189611911773682,13.272271633148193,12.948979377746582,0.08265972137451172,-0.2406325340270996,basic,,0.8361117547751481,0.673698644556909,1
LIB,target_cum_h6,cumulative,6,15.970003604888916,15.46168565750122,15.178582191467285,-0.5083179473876953,-0.7914214134216309,basic,,0.8361117547751481,0.673698644556909,1
U02B,target_point_h1,point,1,21.24807357788086,19.9507999420166,20.679956436157227,-1.2972736358642578,-0.5681171417236328,basic,,0.8020426528828025,0.5461110321501115,1
U02B,target_point_h3,point,3,30.30629062652588,30.086181640625,29.628673553466797,-0.2201089859008789,-0.677617073059082,basic,,0.8020426528828025,0.5461110321501115,1
U02B,target_point_h6,point,6,32.65863609313965,31.930219650268555,33.5872917175293,-0.7284164428710938,0.9286556243896484,basic,,0.8020426528828025,0.5461110321501115,1
U02B,target_cum_h3,cumulative,3,24.667585372924805,23.996914863586426,24.526021003723145,-0.6706705093383789,-0.14156436920166016,basic,,0.8020426528828025,0.5461110321501115,1
U02B,target_cum_h6,cumulative,6,25.49390697479248,25.14424228668213,25.526777267456055,-0.34966468811035156,0.03287029266357422,basic,,0.8020426528828025,0.5461110321501115,1
U05,target_point_h1,point,1,20.50367259979248,19.31141757965088,19.753984451293945,-1.1922550201416016,-0.7496881484985352,basic,E,0.8476947028357384,0.485821996624467,2
U05,target_point_h3,point,3,27.653664588928223,27.8477783203125,28.116137504577637,0.19411373138427734,0.46247291564941406,basic,E,0.8476947028357384,0.485821996624467,2
U05,target_point_h6,point,6,30.669178009033203,29.09744358062744,29.86686897277832,-1.5717344284057617,-0.8023090362548828,basic,E,0.8476947028357384,0.485821996624467,2
U05,target_cum_h3,cumulative,3,24.93285846710205,24.162874221801758,25.33632755279541,-0.769984245300293,0.4034690856933594,basic,E,0.8476947028357384,0.485821996624467,2
U05,target_cum_h6,cumulative,6,23.25082302093506,21.828367233276367,22.262845993041992,-1.4224557876586914,-0.9879770278930664,basic,E,0.8476947028357384,0.485821996624467,2
U06,target_point_h1,point,1,9.940196514129639,10.301631450653076,9.602943420410156,0.3614349365234375,-0.3372530937194824,basic,D,0.8392604663059015,0.7432740903923857,1
U06,target_point_h3,point,3,16.299068450927734,16.665170669555664,16.457664489746094,0.3661022186279297,0.15859603881835938,basic,D,0.8392604663059015,0.7432740903923857,1
U06,target_point_h6,point,6,19.555636405944824,21.14529037475586,21.45637321472168,1.5896539688110352,1.9007368087768555,basic,D,0.8392604663059015,0.7432740903923857,1
U06,target_cum_h3,cumulative,3,13.057904720306396,13.38297986984253,13.811418056488037,0.3250751495361328,0.7535133361816406,basic,D,0.8392604663059015,0.7432740903923857,1
U06,target_cum_h6,cumulative,6,15.084550857543945,14.742113590240479,15.985389232635498,-0.3424372673034668,0.9008383750915527,basic,D,0.8392604663059015,0.7432740903923857,1
