target_family,target_name,horizon_hours,mode,n_runs,wape_mean,wape_std,mae_mean,rmse_mean,r2_mean
cumulative,target_point_h1,1,M0,0,,,,,
cumulative,target_point_h3,1,M0,0,,,,,
cumulative,target_point_h6,1,M0,0,,,,,
cumulative,target_cum_h3,1,M0,0,,,,,
cumulative,target_cum_h6,1,M0,0,,,,,
cumulative,target_point_h1,1,M2,0,,,,,
cumulative,target_point_h3,1,M2,0,,,,,
cumulative,target_point_h6,1,M2,0,,,,,
cumulative,target_cum_h3,1,M2,0,,,,,
cumulative,target_cum_h6,1,M2,0,,,,,
cumulative,target_point_h1,1,M3,0,,,,,
cumulative,target_point_h3,1,M3,0,,,,,
cumulative,target_point_h6,1,M3,0,,,,,
cumulative,target_cum_h3,1,M3,0,,,,,
cumulative,target_cum_h6,1,M3,0,,,,,
cumulative,target_point_h1,3,M0,0,,,,,
cumulative,target_point_h3,3,M0,0,,,,,
cumulative,target_point_h6,3,M0,0,,,,,
cumulative,target_cum_h3,3,M0,8,18.961990118026733,6.267471663195005,22.022640585899353,37.52534596968746,0.9126513376832008
cumulative,target_cum_h6,3,M0,0,,,,,
cumulative,target_point_h1,3,M2,0,,,,,
cumulative,target_point_h3,3,M2,0,,,,,
cumulative,target_point_h6,3,M2,0,,,,,
cumulative,target_cum_h3,3,M2,8,18.703760147094727,5.85524369925372,21.88110339641571,37.13106386425813,0.9164458736777306
cumulative,target_cum_h6,3,M2,0,,,,,
cumulative,target_point_h1,3,M3,0,,,,,
cumulative,target_point_h3,3,M3,0,,,,,
cumulative,target_point_h6,3,M3,0,,,,,
cumulative,target_cum_h3,3,M3,8,19.155686497688293,6.220641119144607,22.382692515850067,37.9906008015954,0.9121436476707458
cumulative,target_cum_h6,3,M3,0,,,,,
cumulative,target_point_h1,6,M0,0,,,,,
cumulative,target_point_h3,6,M0,0,,,,,
cumulative,target_point_h6,6,M0,0,,,,,
cumulative,target_cum_h3,6,M0,0,,,,,
cumulative,target_cum_h6,6,M0,8,19.9498211145401,4.90812656015083,47.13905227184296,80.48272746120105,0.9003823474049568
cumulative,target_point_h1,6,M2,0,,,,,
cumulative,target_point_h3,6,M2,0,,,,,
cumulative,target_point_h6,6,M2,0,,,,,
cumulative,target_cum_h3,6,M2,0,,,,,
cumulative,target_cum_h6,6,M2,8,19.29410219192505,4.704049449507673,45.34622263908386,77.22744005308454,0.9069019854068756
cumulative,target_point_h1,6,M3,0,,,,,
cumulative,target_point_h3,6,M3,0,,,,,
cumulative,target_point_h6,6,M3,0,,,,,
cumulative,target_cum_h3,6,M3,0,,,,,
cumulative,target_cum_h6,6,M3,8,19.738398671150208,4.719478350219359,46.55847990512848,79.25960470825018,0.9032388478517532
point,target_point_h1,1,M0,8,15.421563506126404,5.852589176590253,5.822311967611313,10.142523992526847,0.941047877073288
point,target_point_h3,1,M0,0,,,,,
point,target_point_h6,1,M0,0,,,,,
point,target_cum_h3,1,M0,0,,,,,
point,target_cum_h6,1,M0,0,,,,,
point,target_point_h1,1,M2,8,14.832788825035095,5.147462761316445,5.671097442507744,9.850819095160361,0.9462298527359962
point,target_point_h3,1,M2,0,,,,,
point,target_point_h6,1,M2,0,,,,,
point,target_cum_h3,1,M2,0,,,,,
point,target_cum_h6,1,M2,0,,,,,
point,target_point_h1,1,M3,8,14.846771717071533,5.779103196701674,5.578302830457687,9.80360327528459,0.9452647492289543
point,target_point_h3,1,M3,0,,,,,
point,target_point_h6,1,M3,0,,,,,
point,target_cum_h3,1,M3,0,,,,,
point,target_cum_h6,1,M3,0,,,,,
point,target_point_h1,3,M0,0,,,,,
point,target_point_h3,3,M0,8,22.690295457839966,6.815977237061938,8.747580200433731,14.778805730053705,0.8801321610808372
point,target_point_h6,3,M0,0,,,,,
point,target_cum_h3,3,M0,0,,,,,
point,target_cum_h6,3,M0,0,,,,,
point,target_point_h1,3,M2,0,,,,,
point,target_point_h3,3,M2,8,22.971802711486816,6.4903821764614715,8.9316765666008,14.87629970962017,0.8809546008706093
point,target_point_h6,3,M2,0,,,,,
point,target_cum_h3,3,M2,0,,,,,
point,target_cum_h6,3,M2,0,,,,,
point,target_point_h1,3,M3,0,,,,,
point,target_point_h3,3,M3,8,23.164000749588013,6.230830923399246,9.089062303304672,15.199222114669228,0.8780375942587852
point,target_point_h6,3,M3,0,,,,,
point,target_cum_h3,3,M3,0,,,,,
point,target_cum_h6,3,M3,0,,,,,
point,target_point_h1,6,M0,0,,,,,
point,target_point_h3,6,M0,0,,,,,
point,target_point_h6,6,M0,8,25.907405138015747,6.227803741461167,10.237901628017426,16.940215527665558,0.8503851890563965
point,target_cum_h3,6,M0,0,,,,,
point,target_cum_h6,6,M0,0,,,,,
point,target_point_h1,6,M2,0,,,,,
point,target_point_h3,6,M2,0,,,,,
point,target_point_h6,6,M2,8,25.97272515296936,5.067197529477247,10.408374398946762,17.464927576120754,0.8473959341645241
point,target_cum_h3,6,M2,0,,,,,
point,target_cum_h6,6,M2,0,,,,,
point,target_point_h1,6,M3,0,,,,,
point,target_point_h3,6,M3,0,,,,,
point,target_point_h6,6,M3,8,26.530375480651855,5.771961976861773,10.511716455221176,17.411569822654428,0.8435016423463821
point,target_cum_h3,6,M3,0,,,,,
point,target_cum_h6,6,M3,0,,,,,
