mode,temp_bin,abs_error
M0,< -10,7.596635616710569
M0,-10:-5,6.557194022281059
M0,-5:0,9.542368646651504
M0,0:5,4.97890502064016
M0,5:10,3.8126370036778354
M0,10:15,2.0812607363870566
M0,>= 15,1.307731496345685
M3,< -10,8.912510674868653
M3,-10:-5,7.261459205261834
M3,-5:0,11.339949623863324
M3,0:5,6.722652154778306
M3,5:10,4.578677919250176
M3,10:15,2.0788495580332564
M3,>= 15,0.9264408218567436
M4,< -10,10.843574907638606
M4,-10:-5,9.065970628771622
M4,-5:0,11.77078549345639
M4,0:5,6.92376454801104
M4,5:10,4.632865838015413
M4,10:15,2.184666807789753
M4,>= 15,0.8681281271903968
