building,setA_base,setA_sur,setB_base,setB_sur,ehr_gain_base_pp,ehr_gain_surrogate_pp
GEO,12.989283023275926,12.66170193159456,13.8569194832529,16.768106850377535,-0.8676364599769748,-4.1064049187829745
LIB,9.653762488452687,9.872635810003544,10.132552277302079,12.706524672325482,-0.47878978884939194,-2.8338888623219383
SOC,12.044038924515982,12.22378455197849,12.140497738196611,14.893729644142692,-0.09645881368062881,-2.669945092164202
U01,9.007995509113053,8.915613838836382,9.358865948843574,12.082635363100518,-0.3508704397305209,-3.167021524264136
U02,23.987238664333578,25.774422349156904,25.01518208491735,29.218195900942813,-1.027943420583771,-3.4437735517859096
U02B,18.542131854580077,18.795834953096563,19.104050277071973,20.841245113450874,-0.561918422491896,-2.0454101603543116
U03,9.634408513304466,9.437831183408289,10.073501469793602,12.964661871037402,-0.4390929564891355,-3.526830687629113
U03B,9.995688540823739,9.623855318444583,10.983679772550982,13.118937730076373,-0.9879912317272428,-3.49508241163179
U04,10.24074608390967,9.964601533703286,10.697864238653539,12.865814345421786,-0.45711815474386874,-2.9012128117184997
U05,19.41715310610286,19.174769483993654,20.771733990905545,20.770597382909404,-1.3545808848026866,-1.5958278989157506
U06,15.562922916344416,15.317054565719623,16.191068782341425,17.0324002496208,-0.6281458659970092,-1.7153456839011767
U06A,19.71011867654469,20.834702175296723,20.17019218404187,24.896736080896286,-0.46007350749718157,-4.062033905599563
