building,variant,rmse,mae,r2,wape_pct,n_test_seq,seed
GEO,setA_base,0.9091806411743164,0.5617823600769043,0.9499538978832229,12.989283023275926,6000,42
LIB,setA_base,6.725917339324951,4.1430792808532715,0.9780825359006229,9.653762488452687,6000,42
SOC,setA_base,11.102065086364746,5.671869277954102,0.9595563700748437,12.044038924515982,6000,42
U01,setA_base,11.523880004882812,7.022525310516357,0.9798506510563778,9.007995509113053,6000,42
U02,setA_base,4.224826812744141,2.1087424755096436,0.898466323550597,23.987238664333578,6000,42
U02B,setA_base,2.2787065505981445,1.3140511512756348,0.9199493459476759,18.542131854580077,6000,42
U03,setA_base,6.717922687530518,3.9018967151641846,0.9770503174127237,9.634408513304466,6000,42
U03B,setA_base,1.9964486360549927,1.168973445892334,0.9750440109626622,9.995688540823739,6000,42
U04,setA_base,1.7435581684112549,0.9959211945533752,0.9752222864617058,10.24074608390967,6000,42
U05,setA_base,11.058181762695312,5.967264175415039,0.9227286473210536,19.41715310610286,6000,42
U06,setA_base,5.143730163574219,3.0760514736175537,0.9408593840254628,15.562922916344416,6000,42
U06A,setA_base,2.9959497451782227,1.6318920850753784,0.9332828771958745,19.71011867654469,6000,42
GEO,setB_base,0.9267523884773254,0.5981046557426453,0.9486854697626215,13.8569194832529,6000,42
LIB,setB_base,6.746207237243652,4.286571025848389,0.9781003791753143,10.132552277302079,6000,42
SOC,setB_base,10.447972297668457,5.587774753570557,0.963479587331912,12.140497738196611,6000,42
U01,setB_base,11.835373878479004,7.4724507331848145,0.9793296100357091,9.358865948843574,6000,42
U02,setB_base,4.307462692260742,2.1963672637939453,0.8939794717915861,25.01518208491735,6000,42
U02B,setB_base,2.2448782920837402,1.3080257177352905,0.9205568410198958,19.104050277071973,6000,42
U03,setB_base,6.9428510665893555,4.116405010223389,0.975467384638197,10.073501469793602,6000,42
U03B,setB_base,2.0368244647979736,1.2714548110961914,0.9741353883800898,10.983679772550982,6000,42
U04,setB_base,1.737044334411621,1.044210433959961,0.975177289437464,10.697864238653539,6000,42
U05,setB_base,11.57332706451416,6.2382941246032715,0.9137837595847936,20.771733990905545,6000,42
U06,setB_base,5.028739929199219,3.2021050453186035,0.943942834124133,16.191068782341425,6000,42
U06A,setB_base,3.0472042560577393,1.6205661296844482,0.9275592418949594,20.17019218404187,6000,42
GEO,setA_sur,0.9199357628822327,0.5546188354492188,0.9494226689919328,12.66170193159456,6000,42
LIB,setA_sur,6.849747657775879,4.18222713470459,0.9772529560695837,9.872635810003544,6000,42
SOC,setA_sur,10.30483627319336,5.695206165313721,0.9640487663248647,12.22378455197849,6000,42
U01,setA_sur,11.667016983032227,7.139466285705566,0.9798706549747738,8.915613838836382,6000,42
U02,setA_sur,4.46216344833374,2.302967071533203,0.8883363737690899,25.774422349156904,6000,42
U02B,setA_sur,2.1974217891693115,1.31389319896698,0.9253397062355148,18.795834953096563,6000,42
U03,setA_sur,6.551591396331787,3.850752592086792,0.9782094812537082,9.437831183408289,6000,42
U03B,setA_sur,1.9338312149047852,1.12498939037323,0.9766224637930913,9.623855318444583,6000,42
U04,setA_sur,1.7148067951202393,0.9673382043838501,0.9754036857917047,9.964601533703286,6000,42
U05,setA_sur,10.614948272705078,5.800532341003418,0.9281132973885889,19.174769483993654,6000,42
U06,setA_sur,5.202539443969727,3.0122456550598145,0.9406580909148307,15.317054565719623,6000,42
U06A,setA_sur,3.154989719390869,1.7159596681594849,0.9254963780779485,20.834702175296723,6000,42
GEO,setB_sur,1.0843555927276611,0.7178354263305664,0.9293551989877232,16.768106850377535,6000,42
LIB,setB_sur,8.114206314086914,5.380633354187012,0.9676038623466922,12.706524672325482,6000,42
SOC,setB_sur,11.927322387695312,6.964660167694092,0.9528245029857282,14.893729644142692,6000,42
U01,setB_sur,13.840516090393066,9.533880233764648,0.9714220257918276,12.082635363100518,6000,42
U02,setB_sur,4.566453456878662,2.5644567012786865,0.8816144829996454,29.218195900942813,6000,42
U02B,setB_sur,2.3295934200286865,1.439723014831543,0.913765872242392,20.841245113450874,6000,42
U03,setB_sur,7.935223579406738,5.278264999389648,0.9682369338070311,12.964661871037402,6000,42
U03B,setB_sur,2.3821122646331787,1.5276774168014526,0.9642102047790518,13.118937730076373,6000,42
U04,setB_sur,1.9565653800964355,1.265388011932373,0.9691781330222258,12.865814345421786,6000,42
U05,setB_sur,11.131261825561523,6.388156414031982,0.922194998986166,20.770597382909404,6000,42
U06,setB_sur,5.6712188720703125,3.362612247467041,0.9291598821038122,17.0324002496208,6000,42
U06A,setB_sur,3.3363823890686035,2.0321855545043945,0.9156816317424022,24.896736080896286,6000,42
