building,preset,mean_t_in_hat_c,std_t_in_hat_c,median_daily_amp_c,mean_comfort_deficit_c,"corr(heat, deficit)",abs_corr_heat_def,rank_within_building
GEO,heavy_slow,17.101255787411127,2.570172793506865,0.9103098177583968,3.5655273988162643,0.6023093827657026,0.6023093827657026,1
GEO,light_fast,16.66912806337771,2.919070577078566,1.7185284137016081,3.9976551228496815,0.5944051650119877,0.5944051650119877,3
GEO,medium,16.926812066931245,2.7130346867602744,1.3187359897403095,3.739971119296143,0.6008174302837135,0.6008174302837135,2
LIB,heavy_slow,17.09648858997652,2.5478414842082096,0.8973724749315792,3.570294246006927,0.5656114673984503,0.5656114673984503,3
LIB,light_fast,16.664939062065255,2.8995514968761222,1.6894320059484613,4.001843773918194,0.5716718968396993,0.5716718968396993,1
LIB,medium,16.922595470355134,2.6929244240302577,1.3006018574274876,3.744187365628312,0.5701190471237856,0.5701190471237856,2
U05,heavy_slow,16.81811370604904,2.532576066252198,0.9183225049215409,3.848565646948103,0.5794359926325025,0.5794359926325025,2
U05,light_fast,16.35684167606583,2.8855707635651062,1.7132677385204023,4.309837676931318,0.5744001015851304,0.5744001015851304,3
U05,medium,16.633599380419135,2.6778918982606177,1.3157589874832354,4.033079972578012,0.579973612509949,0.579973612509949,1
U06,heavy_slow,16.866766976713805,2.508061618220518,0.8976864383237206,3.7999123762833418,0.6644842003825326,0.6644842003825326,3
U06,light_fast,16.397032395382062,2.8649793106344132,1.701942235768417,4.269646957615085,0.6699956475125597,0.6699956475125597,1
U06,medium,16.676091370532905,2.656155020554394,1.3020904735079846,3.9905879824642403,0.6697032472618466,0.6697032472618466,2
